Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_44_502.jpg;0;0;1;-0.03932751;95.28767;82.87815;358.5873;358.8823;-0.005408966
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_44_570.jpg;0;0;1;-0.09378647;95.28756;82.87791;358.9437;358.8829;0.01701849
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_44_637.jpg;0;0;1;-0.1075633;95.28739;82.87778;359.3031;358.8834;0.05608279
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_44_703.jpg;0;0;1;-0.1034663;95.28719;82.87775;359.7592;358.8832;0.1057565
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_44_770.jpg;0;0;1;-0.09775077;95.28707;82.87771;0.07853788;358.8826;0.1367041
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_44_837.jpg;0;0;1;-0.0879617;95.28696;82.87768;0.3732675;358.8817;0.1620746
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_44_903.jpg;0;0;1;-0.0749784;95.28684;82.87714;0.6964383;358.8807;0.1499325
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_44_970.jpg;0;0;1;-0.06319424;95.28677;82.87693;0.8892475;358.8804;0.1260334
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_45_037.jpg;0;0;1;-0.04666105;95.28671;82.8766;1.03566;358.8807;0.08246189
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_45_104.jpg;0;0;1;-0.03449608;95.28667;82.87627;1.161457;358.8818;0.006601507
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_45_171.jpg;0;0;1;-0.02327094;95.28666;82.8766;1.185594;358.8826;359.9703
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_45_238.jpg;0;0;1;0.01037856;95.28668;82.87714;1.14786;358.8826;359.9731
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_45_305.jpg;0;0;1;0.01913984;95.28671;82.87737;1.055508;358.8824;359.9784
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_45_372.jpg;0;0;0;0.02601543;95.28674;82.87739;0.9673417;358.8824;359.9802
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_45_439.jpg;0;0;0;0.02965462;95.28678;82.87738;0.8316183;358.8823;359.9824
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_45_505.jpg;0;0;0;0.03244938;95.28682;82.87738;0.7196177;358.8822;359.9843
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_45_572.jpg;0;0;0;0.03489314;95.28685;82.87739;0.601956;358.8822;359.9864
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_45_638.jpg;0;0.101668;0;0.03579934;95.28678;82.8774;0.4378472;358.9187;359.9889
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_45_705.jpg;0;0.3028667;0;0.04490575;95.28813;82.87737;0.3455192;358.8302;359.9915
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_45_772.jpg;0;0.5036091;0;0.08167614;95.29171;82.87728;0.3028473;358.7803;359.9937
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_45_839.jpg;0;0.7018321;0;0.07957819;95.29907;82.87711;0.2957498;358.5674;-0.002890048
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_45_906.jpg;0;0.905733;0;0.1164505;95.30888;82.87686;0.3767721;358.4479;-0.0009741768
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_45_974.jpg;0;1;0;0.1737674;95.32245;82.87651;0.5256786;358.4875;-0.0002827977
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_46_040.jpg;0;1;0;0.2474449;95.34818;82.87582;0.8338974;358.5372;-0.0005866579
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_46_108.jpg;0;1;0;0.3002749;95.37096;82.87518;1.076039;358.4819;-3.874681E-05
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_46_175.jpg;0;1;0;0.3454608;95.39614;82.87443;1.296351;358.5623;-0.001680603
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_46_242.jpg;0;1;0;0.4170892;95.42937;82.87304;1.238851;358.5591;-0.001319549
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_46_308.jpg;0;1;0;0.4622586;95.45567;82.8723;1.088157;358.5042;0.0002060634
